Question
What do wish you were better at saying “no” to?
What did you get into trouble for when you were young?
What’s on your bucket list?
What impractical thing would you like to own?
What three words would you use to describe your family?
How would you like to spend your retirement?
If you could work as an assistant to anyone for a year who would you choose?
What is the best TV show of all time?
Which of your ancestors would you most like to meet?
Are you proudest of your accomplishments or your character?
What Posters did you have in your room when you were young?
What’s the most fun party you ever attended?
Who would you like to trade places with for a month?
IS science or art more important to humanity?
Is it more important to be book or street smart?
Would you rather be the worst player on a winning team or best on a losing team?
If you owned a boat what would you name it? 
What’s the hardest thing you have ever done?
What dead person would you most like to meet?
What is your favourite app?
What is your favourite website?
What is your favourite book?
What is your favourite video game?
What is your favourite movie?
What landmark would you most like to see?
What was your most memorable meal?
What is the weirdest thing you have consumed?
"Which event in the past, present of future would you like to witness in person?"
Are you mentally or physically tougher?
What fear would you like to conquer?
Would you rather live on the beach or in the mountains?
What is the worst job you have ever had? 
Are you spiritual?
Is it more important to develop beliefs or gain knowledge?
Would you rather meet your great grandparents or you great grandchildren?
If you had a million dollars what is the first thing you would do?
What household disaster happened to you?
Is justice of forgiveness more important?
What are the most important qualities in friends?
What language would like to speak fluently?
What remains undone that you have wanted to do for years?
How many different places have you lived?
What is the biggest lie you told as child?
What is the best advice your mother gave you?
What is the best advice your father gave you?
What is your favourite song to play in the car?
How do you define success?
What would you miss most about your home if you moved?
Who is your favourite athlete?
Which piece of land would you preserve forever?
Who is the most optimistic person you know?
What is more important respect from your children or parents?
What is your favourite quote?
When you are down what makes you feel better?
How will our culture change in the next 100 years?
Where would you most like to travel?
Where would you most like to live?
If you could be any athlete for a single game who would you choose?
What would you most like to learn to do on a computer?
What pets have you had?
What have you lost that you would like to find?
What is the greatest wonder of the world?
What is the most amazing landscape you have seen?
Do you live in the past present or future?
What do you think is the best age?
What is your favourite fast food meal?
What is the most beautiful place you have seen?
If you could spend the weekend in any city which would you choose?
If you only had 5 more years to live what would you change?
What do you admire the most about your parents?
Go around the table and say what you admire about each person?
If you could change your name what would you choose?
What is the most impactful thing you have done?
What do complain about more than anything else?
What change would you most like make for your health?
What are your simple pleasures?
What is the best vacation you have had?
What is your favourite dessert?
If you could give all humans one virtue which would you choose?
Would you rather age forward or backwards at this point?
What do you miss most about childhood?
Which country did your family come from?
What activity would you like a lesson from an expert?
Do you have any superstitions?
What obligation do you believe you have to your country?
If you could get a tattoo what would you get and where would you put it?
If money were no object what kind of party would you throw?
What era would you like to have grown up in?
When you were young what did you want to be?
What is one thing you would say to your younger self?
"Would you rather be a great musician, artist, author or athlete?"
What would most like to do for someone else if you had the money and time?
What was your favourite game as a kid?
Who is the best teacher you have ever had?
What would your ideal room be?
If you did not have to worry about money what would you do with your life?
What is one goal you hope to accomplish this year?
Who do you think is the most inspirational person in history?
"Who taught you how to ride a bike, where and when?"
What is your dream job?
Which of your personality traits would you like to change?
What do you think your life will look like in 10 years time?
What is your proudest accomplishment?
What makes a house a home?
Who would most like to see live in concert?
What subject would you most like to master?
What was your favourite meal as a kid?
What historical time period would you most like to visit?
Which book dramatically change your life?
Ask each person to say what celebrity you resemble?
What do love about your home town?
If you could stop time what would you do?
